What gender do you identify as?,What is your race/ethnicity? (Check all that apply),What is your year at New College?,"What is your Area of Concentration? (If not yet declared, put ""Undeclared"")",Which math classes have you taken at New College? (Check all that apply),"Are you considering, or did you ever consider a concentration in Math?",Are you interested in graduate school (in any discipline)?,"""I find mathematics interesting""","""Mathematics leads to many possible career opportunities""","""With practice, it is easy for me to improve my skills in math""","""Men are generally better suited to mathematics than women""","""Many people believe that men are better suited to mathematics than women""","""Some racial/ethnic groups are generally better suited to mathematics than others""","""Many people believe that some racial/ethnic groups are better suited to mathematics than others""",... compared to your high school student population?,... compared to the student population at New College?,... compared to your social group?,... compared to other students of your gender?,... compared to other students of your racial/ethnic group?,"Imagine the following scenario: in the first few weeks of a math class, you have had difficulty understanding the material and completing some of the assignments. How likely are you to drop the class?",Have you ever dropped or stopped attending a math class because you believed you were not going to do well?,"Compared to other subjects, do you feel more or less anxiety in mathematics classes?",How often are you concerned that your performance in math will confirm a negative stereotype about you?,Think about a typical math course you have taken at New College or imagine taking one. Did/do you feel comfortable or out of place?,Have you ever felt that you were perceived or treated differently in a math class due to your gender? ,Have you ever felt that you were perceived or treated differently in a math class due to your race or ethnicity? ,Are there any comments or thoughts you would like to add?
Female,White,Second Year,Physics/art,"Calc I, Calc III",Yes,Yes,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Above average,Average,Well above average,Above average,Average,Somewhat unlikely,No,About the same,Sometimes,Somewhat comfortable,No,No,
Male,Black or African American,First Year,pre-med,Mathematics for the sciences,No,Yes,Agree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Average,Above average,Above average,Somewhat unlikely,No,A little less anxiety,Never,Very comfortable,No,No,
Female,"Mixed, Jamaican/Itailian/Chinese",Third Year,Biology/Undeclared,Calc II,No,Yes,Agree,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Neutral,Above average,Average,Average,Average,Average,Somewhat likely,Yes,About the same,Rarely,Somewhat comfortable,No,No,
Female,White,First Year,Anthropology,No math courses at New College,No,Maybe,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Above average,Somewhat likely,No,A little more anxiety,Sometimes,Neutral,No,No,
Female,White,First Year,Undeclared,Discrete Math,No,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Average,Average,Average,Somewhat unlikely,No,Much more anxiety,Rarely,Somewhat out of place,"Yes, but not at New College",No,
Female,White,First Year,Economics,Calc I,Yes,Yes,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Strongly agree,Above average,Average,Below average,Above average,Below average,Somewhat unlikely,No,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College",No,
Female,White,First Year,Biology,Mathematics for the sciences,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Above average,Average,Below average,Average,Average,Somewhat unlikely,No,A little more anxiety,Sometimes,Somewhat comfortable,No,No,
Female,White,Second Year,POLITICAL SCIENCE,"Calc I, Calc II",Yes,Yes,Agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Well above average,Below average,Well above average,Average,Below average,Very unlikely,No,Much more anxiety,Never,Somewhat comfortable,"Yes, but not at New College",No,
Male,White,Second Year,Biochemistry,"Mathematics for the sciences, Calc I",No,Yes,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Never,Somewhat comfortable,No,No,
Female,White,Fourth Year,Psychology,Additional math courses not listed,No,Maybe,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Average,Above average,Average,Average,Somewhat likely,No,A little less anxiety,Never,Somewhat comfortable,No,No,
Female,White,Second Year,Chinese,No math courses at New College,No,No,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Below average,Below average,Average,Below average,Below average,Somewhat likely,No,Much more anxiety,Sometimes,Very out of place,No,No,
Female,White,Second Year,Biochemistry,"Calc II, Calc III",No,Yes,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Above average,Well above average,Above average,Above average,Very unlikely,No,A little less anxiety,Never,Very comfortable,No,No,
Female,Asian,First Year,Neuroscience/ Computer Science,No math courses at New College,No,Yes,Disagree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Agree,Well below average,Below average,Well below average,Average,Well below average,Very unlikely,No,About the same,Sometimes,Somewhat out of place,No,No,
Non-binary,White,Fourth Year,Physics,"Calc I, Calc II, Calc III, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Above average,Above average,Well above average,Above average,Above average,Somewhat likely,Yes,About the same,Rarely,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College","I wanted to clarify my responses for being treated differently because of race or gender. I selected ""yes"" for each of them because I have been treated differently; I have been stereotyped, but it is others unlike me who are usually negatively stereotyped. "
Male,Hispanic or Latino,Third Year,Biology ,Mathematics for the sciences,No,Yes,Agree,Neutral,Agree,Disagree,Agree,Strongly disagree,Disagree,Below average,Well below average,Below average,Well below average,Average,Somewhat unlikely,Yes,A little more anxiety,Often,Somewhat comfortable,No,"Yes, but not at New College",I can provide more information if needed. Just contact at my email. James.nunez15@ncf.edu
Male,White,Second Year,Chemistry,"Calc I, Calc II, Calc III",No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Above average,Below average,Average,Below average,Below average,Very unlikely,No,About the same,Sometimes,Neutral,No,No,"I did well in math, never had to study for a test and still did well, until I hit Calculus.  Even with studying, I don't do well."
Female,Asian,Fifth or more,Undeclared,No math courses at New College,Yes,Yes,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Well below average,Well above average,Well below average,Average,Well below average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,No,"Yes, but not at New College",
Female,Middle Eastern,Third Year,International Relations,"Calc I, Calc II",No,Yes,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Above average,Average,Above average,Above average,Somewhat unlikely,No,A little more anxiety,Never,Somewhat comfortable,No,No,no.
Female,White,Third Year,Biopsych,Additional math courses not listed,No,Maybe,Agree,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Above average,Average,Above average,Average,Average,Very likely,No,Much more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,
Female,"Asian, White",Second Year,Biology,Calc I,No,Yes,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Above average,Below average,Average,Above average,Well below average,Neutral,No,Much more anxiety,Never,Very comfortable,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",
Female,White,Second Year,environmental studies ,"Mathematics for the sciences, Calc I",No,Yes,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Neutral,Below average,Below average,Average,Below average,Below average,Neutral,Yes,Much more anxiety,Sometimes,Neutral,No,No,
Female,Asian,Fourth Year,Biology,"Calc I, Calc II, Calc III",No,Yes,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Above average,Above average,Well above average,Above average,Well above average,Very unlikely,No,Much more anxiety,Sometimes,Neutral,"Yes, but not at New College","Yes, at New College and possibly elsewhere",
Female,"Hispanic or Latino, White",Second Year,Biology and Environmental Studies ,Mathematics for the sciences,Yes,Yes,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Below average,Below average,Well below average,Below average,Below average,Very unlikely,No,Much more anxiety,Rarely,Neutral,No,No,
Female,"Hispanic or Latino, White",Fourth Year,Chemistry/Biology ,"Mathematics for the sciences, Calc I, Calc II, Discrete Math",No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well above average,Above average,Average,Average,Average,Somewhat unlikely,No,About the same,Never,Very comfortable,"Yes, but not at New College",No,
Female,"Asian, White",Third Year,Math,"Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Well above average,Average,Above average,Above average,Somewhat unlikely,No,A little more anxiety,Often,Very comfortable,"Yes, at New College and possibly elsewhere",No,
Female,Hispanic or Latino,First Year,Biopsychology,Calc I,No,Yes,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Above average,Above average,Above average,Average,Average,Somewhat unlikely,No,About the same,Rarely,Somewhat comfortable,No,No,
Female,White,Third Year,classics/computer science,No math courses at New College,No,Yes,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Below average,Below average,Below average,Below average,Below average,Somewhat unlikely,No,A little more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,Black or African American,First Year,Gender Studies/French,No math courses at New College,No,Yes,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Below average,Well below average,Well below average,Average,Above average,Somewhat likely,No,Much more anxiety,Rarely,Very out of place,No,No,I HATE MATH WHAT ARE NUMBERS BRUH. 
Female,White,First Year,Nat Sciences,Calc I,No,Yes,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Above average,Average,Above average,Above average,Average,Very unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,Hispanic or Latino,First Year,undeclared,No math courses at New College,No,Yes,Disagree,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Below average,Below average,Below average,Below average,Average,Somewhat unlikely,No,Much more anxiety,Often,Neutral,No,No,
"Nonbinary, trans woman",White,Third Year,"Gender Studies (slashed in Poli Sci, dropped due to Stats requirement)",No math courses at New College,No,Yes,Strongly disagree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Below average,Average,Below average,Well below average,Very likely,Yes,Much more anxiety,Rarely,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College",
Male,White,First Year,Biology,Calc I,Yes,Yes,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Above average,Average,Above average,Average,Average,Neutral,No,A little less anxiety,Never,Neutral,No,No,
Female,White,First Year,Undeclared,Mathematics for the sciences,Yes,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Well above average,Above average,Above average,Above average,Average,Somewhat unlikely,Yes,About the same,Never,Somewhat comfortable,No,No,
Female,White,Third Year,Philosophy,"Calc I, Calc II, Calc III, Linear Algebra",No,Yes,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Above average,Above average,Below average,Above average,Above average,Somewhat unlikely,No,A little more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,"I think the change of name of the course from Calc with Theory to Honors Calculus was a very conscious and good-hearted decision, but I think it does not accurately reflect the difficulty and degree of difference of the course content when it is compared to a standard Honors Calc class at another college. 

I also am very thankful for all of the professors in the math department. They have always made me feel as capable and supported as I could ever imagine. Changing from studying science to studying philosophy, I'm still in a male-dominated environment and feel that math was much less toxic of an environment for women. I feel that women just tend to have a harder time doing things that are deemed to be more ""useless"" in society's eye (i.e. math and philosophy due to their abstract nature) and perhaps just celebrating the uniqueness of these more abstract subjects and educating first-year students on the nature of these subjects and the styles of thinking and approach that are taken would be good for women to hear. Instead of hearing their area of interest is useless and diverting them from it, they could hear that people like to think about theory (for instance, in philosophy) and the way things work in the world would like to be a part of the program.

I am also so happy this survey went out! There is a similar mechanism in the philosophy department due to the gender disparity and I am very glad it is happening here now. Thanks for all you all do!"
Female,Hispanic or Latino,First Year,undeclared,,No,Yes,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Average,Average,Above average,Above average,Above average,Somewhat unlikely,No,A little less anxiety,Never,Neutral,No,No,
Female,"Black or African American, Hispanic or Latino",First Year,Biochemistry/Applied Math,Calc I,Yes,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Well above average,Average,Average,Average,Average,Somewhat likely,No,Much more anxiety,Often,Very out of place,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",I feel out of my element oftentimes. I am one of few women of color studying NatSci at New College. I am a first generation. I am poor. Most white males share classes with me. Most white persons have their parents giving monetary contribution. I worry sometimes.
Female,Hispanic or Latino,Second Year,Anthropology/Spanish,No math courses at New College,No,Yes,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Below average,Below average,Average,Below average,Below average,Very likely,Yes,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,Thank you for addressing the huge disparities in New College's math program. This is important data!
Male,White,Third Year,BioPsych,"Calc I, Calc II",No,Yes,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Average,Average,Above average,Average,Average,Neutral,Yes,A little more anxiety,Rarely,Somewhat comfortable,No,No,
Female,Asian,First Year,Marine biology,No math courses at New College,Yes,Yes,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Average,Average,Well above average,Average,Below average,Very unlikely,No,About the same,Sometimes,Neutral,"Yes, but not at New College","Yes, but not at New College",
Male,White,First Year,Computer Science ,"Calc I, Discrete Math",Yes,Yes,Agree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Above average,Average,Average,Below average,Average,Very unlikely,No,A little less anxiety,Sometimes,Very comfortable,No,No,
Male,White,Second Year,Biopsych/Theatre,No math courses at New College,No,No,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Well above average,Above average,Above average,Above average,Above average,Somewhat likely,No,A little more anxiety,Never,Neutral,No,No,
Female,White,Fourth Year,biopsychology ,"Calc I, Additional math courses not listed",No,Yes,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Below average,Above average,Above average,Below average,Somewhat unlikely,Yes,A little more anxiety,Never,Somewhat comfortable,"Yes, but not at New College",No,
Female,White,First Year,international Relations,No math courses at New College,No,Yes,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Above average,Average,Average,Above average,Average,Very unlikely,No,About the same,Never,Neutral,"Yes, but not at New College",No,
Female,White,First Year,Undeclared,No math courses at New College,No,Maybe,Neutral,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Below average,Average,Average,Somewhat likely,No,A little more anxiety,Never,Somewhat out of place,"Yes, but not at New College",No,
Female,White,Second Year,Philosophy ,No math courses at New College,No,Yes,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Average,Below average,Above average,Average,Average,Somewhat likely,No,Much more anxiety,Sometimes,Somewhat out of place,"Yes, but not at New College",No,
Male,White,First Year,Sociology,No math courses at New College,No,Maybe,Disagree,Agree,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Below average,Below average,Below average,Below average,Somewhat likely,No,A little more anxiety,Never,Very out of place,No,No,
Female,White,Fourth Year,Humanities,No math courses at New College,No,Yes,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Average,Below average,Below average,Somewhat likely,No,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Female,White,Second Year,Undeclared ,No math courses at New College,No,Maybe,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Well below average,Below average,Below average,Average,Somewhat likely,Yes,A little less anxiety,Sometimes,Somewhat out of place,"Yes, at New College and possibly elsewhere",No,
Female,"Asian, White",First Year,Humanities,No math courses at New College,No,Maybe,Neutral,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Below average,Well below average,Below average,Below average,Well below average,Somewhat likely,No,Much more anxiety,Never,Neutral,No,"Yes, but not at New College",
non binary,Asian,Third Year,General Studies,No math courses at New College,No,Maybe,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Often,Neutral,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",
Nonbinary,White,Fourth Year,Humanities,No math courses at New College,No,Yes,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Well above average,Average,Average,Average,Average,Neutral,No,A little more anxiety,Sometimes,Neutral,"Yes, at New College and possibly elsewhere",No,"I have not taken any math classes at New College so some of these questions did not apply, but I did not want to choose ""no"" because there are massive issues with gender and race within the math department at NCF. It is so obvious, especially from what I hear from my friends who are women math AOCs."
Female,White,First Year,Undeclared,,Yes,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Above average,Average,Below average,Above average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Somewhat comfortable,"Yes, but not at New College",No,
Male,White,First Year,Computer Sciences,Additional math courses not listed,No,Yes,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Average,Below average,Average,Average,Somewhat likely,No,A little more anxiety,Never,Neutral,No,No,
Female,Arab,Second Year,Art/Psychology,No math courses at New College,Yes,Yes,Agree,Neutral,Strongly agree,Disagree,Disagree,Disagree,Agree,Above average,Average,Average,Average,Average,Neutral,Yes,A little more anxiety,Sometimes,Neutral,No,No,
*shrug*,"Hispanic or Latino, White",Third Year,Pure Mathematics,"Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Agree,Well above average,Well above average,Well above average,Above average,Well above average,Somewhat unlikely,Yes,Much more anxiety,Never,Very comfortable,No,No,"I've always been read as White and not Hispanic, so never faced discrimination because of that. Also, mathematics is the subject of suffering, and is not easy for anyone. You only learn from suffering (at least in the proof heavy area of pure maths)"
Male,White,Second Year,Undeclared,"Calc I, Linear Algebra",Yes,Yes,Neutral,Agree,Agree,Disagree,Agree,Disagree,Disagree,Average,Below average,Above average,Average,Average,Somewhat unlikely,Yes,Much more anxiety,Rarely,Somewhat comfortable,No,No,
Female,White,Second Year,Marine biology,Calc II,Yes,Yes,Agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Below average,Above average,Average,Very unlikely,No,A little more anxiety,Sometimes,Somewhat comfortable,No,No,
Agender,White,Third Year,English/Music,No math courses at New College,No,Yes,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Below average,Average,Average,Below average,Somewhat likely,No,Much more anxiety,Often,Somewhat out of place,"Yes, but not at New College","Yes, but not at New College","I haven't taken (and I am afraid to take) math courses at New College because of 1) my treatment in the past when I took math courses, and 2) because of the elitism I have picked up on from some Math AOCs -- my interests in maths are related to their application in music, but I feel as though many people on campus only really value wholly abstract maths. Even with music being an abstract concept (in the mathematical sense), it seems frowned upon to apply maths to something in a different vacuum, almost as if it's ""dirty"" or ""tainting"" pure math."
Female,White,Third Year,Environmental Studies,"Mathematics for the sciences, Calc I",No,Maybe,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Average,Average,Average,Very likely,Yes,Much more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,White,Second Year,Psych ,No math courses at New College,No,Yes,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Above average,Above average,Average,Average,Average,Somewhat unlikely,No,About the same,Never,Somewhat comfortable,No,No,No
Female,"Hispanic or Latino, White",First Year,Biopsych,No math courses at New College,No,Yes,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Above average,Average,Average,Average,Average,Very unlikely,No,A little more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,
Male,White,Fourth Year,Undeclared,No math courses at New College,No,Yes,Neutral,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Average,Average,Average,Somewhat unlikely,No,About the same,Rarely,Somewhat out of place,No,No,
Non-binary,White,Third Year,Spanish & German,No math courses at New College,No,Maybe,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Below average,Average,Average,Neutral,No,Much more anxiety,Often,Very out of place,"Yes, but not at New College",No,
Female,White,First Year,Undeclared,No math courses at New College,No,Yes,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Agree,Above average,Well below average,Below average,Average,Average,Somewhat likely,Yes,About the same,Often,Very out of place,"Yes, but not at New College",No,
Male,White,Fourth Year,Social Sciences,No math courses at New College,No,Yes,Neutral,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Average,Below average,Average,Below average,Below average,Somewhat unlikely,No,About the same,Never,Neutral,No,No,
Male,Hispanic or Latino,Second Year,Undeclared,No math courses at New College,No,Maybe,Neutral,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Well above average,Average,Average,Average,Well above average,Somewhat unlikely,No,A little less anxiety,Never,Somewhat out of place,No,No,
Non-Binary ,Alien,Third Year,Humanities,No math courses at New College,No,Yes,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Well below average,Well below average,Below average,Well above average,Well above average,Very likely,No,Much more anxiety,Often,Very out of place,No,No,
Male,White,First Year,Psychology,No math courses at New College,No,Yes,Neutral,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Above average,Average,Average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,"Hispanic or Latino, White",Second Year,Philosophy and Economics,No math courses at New College,No,No,Disagree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Average,Below average,Average,Average,Average,Somewhat unlikely,Yes,A little more anxiety,Never,Somewhat out of place,No,No,
Female,White,Fourth Year,Nat sci,"Mathematics for the sciences, Calc I",No,Yes,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Average,Below average,Below average,Neutral,No,A little more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,Asian,Second Year,Undeclared,"Calc I, Calc II, Calc III",No,Yes,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Average,Average,Above average,Average,Average,Very unlikely,No,About the same,Never,Neutral,No,No,
Female,Asian,First Year,Undeclared,No math courses at New College,Yes,Yes,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Above average,Above average,Above average,Above average,Average,Somewhat likely,Yes,About the same,Often,Somewhat out of place,"Yes, at New College and possibly elsewhere","Yes, at New College and possibly elsewhere",I attended a math mini class but did not go to the following class.
Male,White,First Year,Biology,Mathematics for the sciences,No,Yes,Neutral,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Average,Average,Below average,Average,Average,Somewhat unlikely,No,A little more anxiety,Rarely,Neutral,No,No,
Female,"Hispanic or Latino, White",Second Year,anthropology,No math courses at New College,No,Yes,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Agree,Above average,Average,Above average,Average,Below average,Somewhat unlikely,No,About the same,Never,Somewhat out of place,"Yes, but not at New College",No,
Female,Asian,Second Year,Undeclared,No math courses at New College,No,Yes,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Average,Average,Average,Average,Well below average,Somewhat likely,No,Much more anxiety,Often,Somewhat out of place,No,"Yes, but not at New College",
Agender (transgender),"Hispanic or Latino, White",Third Year,Anthropology,Mathematics for the sciences,Yes,Maybe,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Well below average,Well below average,Below average,Below average,Well below average,Very likely,Yes,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Male,White,Second Year,Undeclared,,No,Yes,Neutral,Strongly agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Disagree,Above average,Average,Below average,Average,Average,Neutral,No,Much more anxiety,Never,Very comfortable,No,No,
Female,White,Fourth Year,Psychology ,Mathematics for the sciences,No,Yes,Neutral,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Below average,Average,Average,Somewhat unlikely,No,Much more anxiety,Sometimes,Very out of place,"Yes, but not at New College",No,
Female,Hispanic or Latino,Second Year,Undeclared,No math courses at New College,No,Maybe,Neutral,Agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Well below average,Well below average,Below average,Well below average,Well below average,Very likely,Yes,Much more anxiety,Often,Very out of place,"Yes, but not at New College","Yes, but not at New College",
Female,White,First Year,undeclared,No math courses at New College,No,Yes,Agree,Strongly agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Average,Below average,Above average,Average,Average,Somewhat unlikely,No,Much more anxiety,Sometimes,Neutral,"Yes, but not at New College",No,
Female,White,Second Year,Biology,"Calc I, Calc II",No,Yes,Neutral,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Average,Average,Average,Somewhat likely,No,A little more anxiety,Often,Somewhat out of place,"Yes, but not at New College",No,
Female,White,Fourth Year,Sociology and Spanish,"Mathematics for the sciences, Calc I, Additional math courses not listed",No,Yes,Agree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Average,Above average,Average,Below average,Somewhat likely,Yes,A little more anxiety,Sometimes,Somewhat comfortable,"Yes, but not at New College",No,
Female,Hispanic or Latino,Third Year,Marine Science ,"Mathematics for the sciences, Calc I, Calc II",No,Yes,Agree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Average,Above average,Average,Below average,Below average,Very unlikely,No,A little more anxiety,Rarely,Somewhat comfortable,No,No,
Female,Hispanic or Latino,First Year,Marine Biology,Mathematics for the sciences,No,Yes,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Average,Below average,Average,Below average,Average,Somewhat likely,Yes,Much more anxiety,Sometimes,Neutral,No,No,
Agender,White,Fourth Year,Computer Science,"Linear Algebra, Additional math courses not listed",Yes,Yes,Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Well above average,Well above average,Above average,Average,Average,Very unlikely,No,Much more anxiety,Often,Very out of place,"Yes, at New College and possibly elsewhere",No,
Female,White,Second Year,Math+Philosophy,"Calc I, Calc II, Calc III, Discrete Math, Linear Algebra, Additional math courses not listed",Yes,Yes,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Agree,Well above average,Above average,Average,Above average,Above average,Somewhat unlikely,No,A little more anxiety,Often,Somewhat out of place,"Yes, at New College and possibly elsewhere",No,
Female,White,Fourth Year,Psychology / Economics,No math courses at New College,No,No,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Average,Average,Below average,Above average,Very unlikely,No,About the same,Rarely,Very comfortable,"Yes, but not at New College",No,"I am a transfer student and took college algebra, pre-calc, trig, calc 1 w analytic geometry, and stats at another institution. "
Male,Black or African American,Third Year,Undeclared,"Calc I, Calc II",No,Yes,Neutral,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Above average,Above average,Average,Average,Well above average,Neutral,Yes,Much more anxiety,Often,Somewhat comfortable,"Yes, but not at New College","Yes, but not at New College",
